uid,ID,Results_of_analysis,Bird_species_FR,CD_nom,Bird_species_LAT,Bird_family_latin,Code_INSEE_municipality,Obs_date,Zone_of_enhanced_surveillance_ZRP,Name_ZRP,Nb_birds_lab_pools,X_Municipality_centroid_Lambert93,Y_Municipality_centroid_Lambert93
1247,68_20201116_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,68278,20/01/2020,Yes,COURS_DU_RHIN,1,1029881,6747710
1248,84_20201118_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,84119,06/08/2020,Yes,FLEUVE_ET_VALLEE_DU_RHONE,1,855494,6320236
1249,69_20201118_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,69282,08/06/2020,Yes,FLEUVE_ET_VALLEE_DU_RHONE,1,855797,6522267
1250,24_20201118_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,24037,16/11/2020,Yes,VALLEE_DE_LA_DORDOGNE,1,501419,6420808
1251,24_20201118_B,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,24140,31/10/2020,Yes,VALLEE_DE_LA_DORDOGNE,1,506922,6418300
1252,24_20201118_C,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,24223,11/10/2020,Yes,VALLEE_DE_LA_DORDOGNE,1,522082,6420581
1253,24_20201118_D,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,24037,08/10/2020,Yes,VALLEE_DE_LA_DORDOGNE,1,501419,6420808
2191,14_20221028_J,HP,Goeland_argente,3302,Larus_argentatus,Laridae,14327,01/07/2022,No,NA,1,457250,6905893
2192,14_20221028_K,HP,Goeland_argente,3302,Larus_argentatus,Laridae,14191,01/07/2022,No,NA,1,449035,6919114
2193,14_20221028_L,HP,Goeland_argente,3302,Larus_argentatus,Laridae,14191,01/07/2022,No,NA,1,449035,6919114
2194,50_20221028_A,HP,Goeland_argente,3302,Larus_argentatus,Laridae,50082,07/07/2022,Yes,ISTHME_DU_COTENTIN,1,363647,6940472
2195,50_20221028_B,HP,Goeland_argente,3302,Larus_argentatus,Laridae,50507,16/07/2022,Yes,ISTHME_DU_COTENTIN,1,389840,6939882
2196,50_20221028_C,HP,Goeland_argente,3302,Larus_argentatus,Laridae,50507,16/07/2022,Yes,ISTHME_DU_COTENTIN,1,389840,6939882
2197,50_20221028_D,HP,Goeland_argente,3302,Larus_argentatus,Laridae,50507,16/07/2022,Yes,ISTHME_DU_COTENTIN,1,389840,6939882
2198,50_20221028_E,negative,Goeland_argente,3302,Larus_argentatus,Laridae,50562,20/07/2022,No,NA,1,390940,6952517
2199,50_20221028_F,negative,Goeland_argente,3302,Larus_argentatus,Laridae,50220,19/07/2022,No,NA,1,353889,6963345
2200,14_20221028_O,HP,Goeland_argente,3302,Larus_argentatus,Laridae,14761,19/07/2022,No,NA,1,466664,6898219
2201,56_20221102_A,HP,Goeland_argente,3302,Larus_argentatus,Laridae,56255,31/07/2022,Yes,GOLFE_DU_MORBIHAN_ET_BAIE_PLOUHARNEL,1,279375,6746038
2202,85_20221102_A,negative,Goeland_argente,3302,Larus_argentatus,Laridae,85106,24/07/2022,Yes,BAIE_DE_BOURGNEUF_ET_NOIRMOUTIER,1,302152,6665207
2203,56_20221102_E,negative,Goeland_argente,3302,Larus_argentatus,Laridae,56234,26/07/2022,Yes,GOLFE_DU_MORBIHAN_ET_BAIE_PLOUHARNEL,1,238338,6731301
2204,56_20221102_G,HP,Goeland_argente,3302,Larus_argentatus,Laridae,56121,22/07/2022,Yes,COTE_ATLANTIQUE_RADE_DE_LORIENT,1,223014,6758490
1135,74_20180123_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,74242,16/01/2018,Yes,LAC_D_ANNECY,1,944444,6530367
1136,74_20180301_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,74281,26/01/2018,Yes,LAC_LEMAN_RIVE_FRANCAISE,1,968382,6591711
1137,74_20190226_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,74108,07/02/2019,Yes,LAC_D_ANNECY,1,948313,6529661
1138,74_20190226_B,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,74218,31/01/2019,Yes,LAC_LEMAN_RIVE_FRANCAISE,1,971967,6594171
1139,75_20170127_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,75108,27/01/2017,No,NA,1,649481,6864056
1140,75_20190529_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,75111,19/09/2018,No,NA,1,654333,6862563
